week,gameId,possessionTeam,playType,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,passResult,offensePlayResult,homeTeam,guestTeam,matches
1,2018090600,ATL,play_type_pass,I_FORM,"2 RB, 1 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_LEFT,C,33,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SHOTGUN,"2 RB, 3 TE, 0 WR",8.0,6.0,"6 DL, 3 LB, 2 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,4,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,EMPTY,"1 RB, 2 TE, 2 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",SCRAMBLE_ROLLOUT_LEFT,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,26,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,3.0,"4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,C,3,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,S,-7,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,S,-6,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,I_FORM,"2 RB, 1 TE, 2 WR",8.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,-7,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",SCRAMBLE_ROLLOUT_RIGHT,C,1,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,C,10,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,3,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 3 TE, 1 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,22,PHI,ATL,"[PHI , ATL]"
1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,8,PHI,ATL,"[PHI , ATL]"
