nflId,height,weight,birthDate,collegeName,position,displayName,team_role
2539334,72,190,1990-09-10,Washington,CB,Desmond Trufant,Defense
2539653,70,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford,Defense
2543850,69,186,1991-12-18,Purdue,SS,Ricardo Allen,Defense
2555162,73,227,1994-11-04,Louisiana State,MLB,Deion Jones,Defense
2555255,75,232,1993-07-01,Minnesota,OLB,De'Vondre Campbell,Defense
2555543,73,216,1995-07-26,Florida,FS,Keanu Neal,Defense
2556445,70,211,1992-10-20,Florida,CB,Brian Poole,Defense
2507763,72,200,1986-08-01,Mississippi,WR,Mike Wallace,Offense
2532842,78,243,1989-01-20,Arizona,QB,Nick Foles,Offense
2540158,77,250,1990-11-10,Stanford,TE,Zach Ertz,Offense
2552582,72,223,1993-06-15,Boise State,RB,Jay Ajayi,Offense
2552600,72,198,1993-05-24,Southern California,WR,Nelson Agholor,Offense
2553502,68,190,1993-04-10,Sacramento State,WR,DeAndre Carter,Offense
2552301,75,246,1992-07-08,Clemson,DE,Vic Beasley,Defense
2506467,66,190,1983-06-20,Kansas State,RB,Darren Sproles,Offense
2557967,73,230,1994-08-09,Louisiana State,OLB,Duke Riley,Defense
2558184,71,190,1993-06-05,San Diego State,SS,Damontae Kazee,Defense
2560995,77,256,1995-01-03,South Dakota State,TE,Dallas Goedert,Offense
2559150,70,220,1994-11-02,Wisconsin,RB,Corey Clement,Offense
310,76,217,1985-05-17,Boston College,QB,Matt Ryan,Offense
2495454,75,220,1989-02-08,Alabama,WR,Julio Jones,Offense
2507828,77,268,1987-02-26,UCLA,TE,Logan Paulsen,Offense
2552453,73,210,1993-04-16,Indiana,RB,Tevin Coleman,Offense
2555415,76,254,1994-10-29,Stanford,TE,Austin Hooper,Offense
2558023,77,253,1994-05-01,Drake,TE,Eric Saubert,Offense
79848,72,204,1987-12-20,Ohio State,SS,Malcolm Jenkins,Defense
2534832,70,195,1990-06-23,Virginia,FS,Rodney McLeod,Defense
2552315,73,236,1992-06-27,Texas,MLB,Jordan Hicks,Defense
2552689,71,193,1994-01-02,Florida State,CB,Ronald Darby,Defense
2555383,72,191,1994-04-06,Louisiana State,CB,Jalen Mills,Defense
2556363,74,230,1994-05-16,Eastern Illinois,OLB,Kamu Grugier-Hill,Defense
2558175,74,230,1995-02-23,Nebraska,LB,Nate Gerry,Defense
2543583,68,206,1992-03-15,Florida State,RB,Devonta Freeman,Offense
2552418,70,192,1991-12-18,East Carolina,WR,Justin Hardy,Offense
2557034,70,190,1993-04-10,Washington,WR,Marvin Hall,Offense
2560854,73,190,1994-12-20,Alabama,WR,Calvin Ridley,Offense
2557958,72,181,1996-05-21,Washington,CB,Sidney Jones,Defense
2533040,74,215,1989-08-22,Rutgers,WR,Mohamed Sanu,Offense
2495613,72,196,1985-07-25,New Hampshire,FS,Corey Graham,Defense
2561132,74,215,1995-08-02,Yale,LB,Foye Oluokun,Defense
2558258,71,191,1995-03-20,West Virginia,WR,Shelton Gibson,Offense
2559033,72,233,1994-04-15,Oregon State,FB,Ricky Ortiz,Offense
2559109,74,205,1994-07-12,Kansas State,CB,Deante Burton,Defense
2539291,61,185,1991-02-07,Oregon State,WR,Markus Wheaton,Offense
2558168,74,209,1995-08-29,West Virginia,CB,Rasul Douglas,Defense
2555461,70,208,1994-01-20,West Virginia,RB,Wendell Smallwood,Offense
79607,71,210,1988-07-12,Pittsburgh,RB,LeSean McCoy,Offense
2495139,75,246,1989-02-13,Tulsa,TE,Charles Clay,Offense
2495189,69,188,1988-11-08,Texas Christian,WR,Jeremy Kerley,Offense
2543471,77,245,1991-02-05,Florida State,WR,Kelvin Benjamin,Offense
2557863,74,200,1995-03-30,East Carolina,WR,Zay Jones,Offense
2558191,74,225,1994-05-04,Pittsburgh,QB,Nathan Peterman,Offense
4365,72,210,1986-05-19,Grand Valley State,CB,Brandon Carr,Defense
2495775,61,195,1985-01-04,Utah,FS,Eric Weddle,Defense
2540164,71,211,1992-01-27,Oklahoma,SS,Tony Jefferson,Defense
2543464,74,250,1992-06-19,Alabama,ILB,C.J. Mosley,Defense
2552279,76,272,1992-09-08,Kentucky,OLB,Za'Darius Smith,Defense
2555378,69,185,1994-03-14,Temple,CB,Tavon Young,Defense
2555505,75,261,1992-08-15,Grand Valley State,OLB,Matt Judon,Defense
2558067,72,197,1996-07-08,Alabama,CB,Marlon Humphrey,Defense
2506268,73,245,1983-05-31,California,OLB,Lorenzo Alexander,Defense
2539240,72,197,1990-12-31,Iowa,SS,Micah Hyde,Defense
2539290,72,191,1991-04-25,Oregon State,FS,Jordan Poyer,Defense
2543851,72,193,1991-04-04,Rice,CB,Phillip Gaines,Defense
2557867,71,192,1995-01-16,Louisiana State,CB,Tre'Davious White,Defense
2557969,72,223,1994-07-28,Boston College,OLB,Matt Milano,Defense
2560713,77,250,1998-05-02,Virginia Tech,LB,Tremaine Edmunds,Defense
382,78,245,1985-01-16,Delaware,QB,Joe Flacco,Offense
71269,73,215,1987-09-14,Texas Tech,WR,Michael Crabtree,Offense
2543847,71,179,1990-04-03,Pittsburg State,WR,John Brown,Offense
2552402,76,270,1993-02-17,Delaware,TE,Nick Boyle,Offense
2552468,76,252,1994-04-12,Minnesota,TE,Maxx Williams,Offense
2555430,61,208,1994-08-26,Arkansas,RB,Alex Collins,Offense
2560766,71,192,1996-07-27,Weber State,CB,Taron Johnson,Defense
2550256,71,205,1992-10-17,Ball State,WR,Willie Snead,Offense
2552631,72,218,1991-08-27,Southern California,RB,Javorius Allen,Offense
2560729,74,196,1994-05-07,Alabama,WR,Robert Foster,Offense
2505660,75,265,1982-10-11,Arizona State,OLB,Terrell Suggs,Defense
2558990,75,311,1994-05-27,Maine,FB,Patrick Ricard,Offense
2508004,71,207,1987-03-27,Tennessee State,DB,Anthony Levine,Defense
2555209,73,200,1993-06-16,Cincinnati,WR,Chris Moore,Offense
2495453,76,210,1988-06-16,Hillsdale,WR,Andre Holmes,Offense
2543767,78,250,1991-07-01,Virginia Tech,TE,Logan Thomas,Offense
2559159,77,246,1994-02-28,Tennessee,TE,Jason Croom,Offense
2556642,72,227,1992-08-22,Portland State,ILB,Patrick Onwuasor,Defense
2558248,72,205,1995-04-19,Virginia Tech,FS,Chuck Clark,Defense
2507817,61,205,1987-05-12,South Carolina State,SS,Rafael Bush,Defense
2557841,75,244,1993-11-12,Alabama,OLB,Tim Williams,Defense
2560947,73,235,1994-11-15,UCLA,LB,Kenny Young,Defense
2552647,69,195,1991-10-03,Missouri,RB,Marcus Murphy,Offense
2558166,75,240,1995-05-23,Houston,OLB,Tyus Bowser,Defense
2560957,77,255,1995-09-06,Oklahoma,TE,Mark Andrews,Offense
2507999,72,223,1988-03-22,Tiffin University,RB,Chris Ivory,Offense
2560955,77,237,1996-05-21,Wyoming,QB,Josh Allen,Offense
2555229,70,228,1994-01-21,Louisiana Tech,RB,Kenneth Dixon,Offense
2560757,74,212,1997-01-07,Louisville,QB,Lamar Jackson,Offense
2561485,61,173,1993-11-20,Rutgers,WR,Janarion Grant,Offense
2560963,71,178,1994-11-30,Alabama,CB,Anthony Averett,Defense
2555178,73,193,1994-05-26,Virginia,CB,Maurice Canady,Defense
2561301,74,230,1995-07-23,North Dakota State,LB,Chris Board,Defense
2506109,77,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger,Offense
2508061,61,185,1988-07-10,Central Michigan,WR,Antonio Brown,Offense
2540151,76,203,1991-05-20,Tennessee,WR,Justin Hunter,Offense
2552633,79,250,1994-06-04,Penn State,TE,Jesse James,Offense
